setsize,time
4,0.002000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.001000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.001000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.001000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.001000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.002000
12,0.000000
12,0.000000
12,0.002000
12,0.000000
12,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.000000
12,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.000000
16,0.000000
16,0.001000
16,0.001000
16,0.003000
16,0.000000
16,0.001000
16,0.000000
16,0.000000
16,0.000000
16,0.000000
16,0.001000
16,0.000000
16,0.000000
16,0.001000
16,0.002000
16,0.007000
16,0.000000
16,0.000000
16,0.002000
16,0.001000
16,0.000000
16,0.001000
16,0.001000
16,0.000000
16,0.001000
16,0.001000
16,0.000000
16,0.000000
16,0.001000
16,0.000000
20,0.001000
20,0.000000
20,0.000000
20,0.002000
20,0.001000
20,0.000000
20,0.000000
20,0.001000
20,0.000000
20,0.001000
20,0.000000
20,0.000000
20,0.001000
20,0.001000
20,0.000000
20,0.001000
20,0.001000
20,0.002000
20,0.001000
20,0.000000
20,0.007000
20,0.001000
20,0.001000
20,0.001000
20,0.001000
20,0.001000
20,0.000000
20,0.000000
20,0.000000
20,0.001000
24,0.004000
24,0.002000
24,0.003000
24,0.025000
24,0.001000
24,0.005000
24,0.000000
24,0.003000
24,0.000000
24,0.001000
24,0.004000
24,0.002000
24,0.003000
24,0.020000
24,0.002000
24,0.002000
24,0.001000
24,0.002000
24,0.001000
24,0.002000
24,0.001000
24,0.008000
24,0.013000
24,0.007000
24,0.005000
24,0.001000
24,0.003000
24,0.004000
24,0.001000
24,0.006000
28,0.001000
28,0.007000
28,0.030000
28,0.114000
28,0.016000
28,0.009000
28,0.025000
28,0.016000
28,0.014000
28,0.003000
28,0.018000
28,0.003000
28,0.017000
28,0.028000
28,0.011000
28,0.021000
28,0.000000
28,0.022000
28,0.004000
28,0.015000
28,0.001000
28,0.013000
28,0.007000
28,0.006000
28,0.051000
28,0.014000
28,0.007000
28,0.001000
28,0.002000
28,0.011000
32,0.035000
32,0.038000
32,0.016000
32,0.005000
32,0.006000
32,0.092000
32,0.091000
32,0.033000
32,0.034000
32,0.056000
32,0.102000
32,0.009000
32,0.009000
32,0.041000
32,0.004000
32,0.044000
32,0.263000
32,0.075000
32,0.043000
32,0.085000
32,0.088000
32,0.016000
32,0.002000
32,0.071000
32,0.012000
32,0.015000
32,0.059000
32,0.065000
32,0.070000
32,0.004000
36,0.358000
36,0.213000
36,0.877000
36,0.223000
36,0.100000
36,0.100000
36,0.310000
36,0.166000
36,0.111000
36,0.314000
36,0.154000
36,0.031000
36,0.169000
36,0.076000
36,0.178000
36,0.024000
36,0.091000
36,0.119000
36,1.870000
36,0.775000
36,0.169000
36,0.155000
36,0.065000
36,0.035000
36,0.356000
36,0.210000
36,1.005000
36,0.263000
36,0.006000
36,66.640000
40,0.365000
40,0.364000
40,0.202000
40,3.977000
40,6.399000
40,0.332000
40,1.117000
40,0.036000
40,0.704000
40,0.275000
40,2.164000
40,0.076000
40,2.900000
40,0.111000
40,0.265000
40,0.669000
40,0.418000
40,3.464000
40,0.273000
40,0.580000
40,0.052000
40,0.287000
40,0.353000
40,3.216000
40,3.126000
40,0.004000
40,0.016000
40,0.537000
40,0.365000
40,1.453000
44,2.116000
44,30.344000
44,0.487000
44,0.251000
44,0.187000
44,6.275000
44,0.956000
44,13.415000
44,0.586000
44,0.011000
44,2.527000
44,8.512000
44,7.422000
44,5.016000
44,11.794000
44,0.011000
44,1.762000
44,3.685000
44,1.736000
44,6.526000
44,20.260000
44,5.060000
44,0.378000
44,1.167000
44,4.468000
44,7.517000
44,1.576000
44,9.094000
44,1.658000
44,2.056000
48,15.886000
48,77.911000
48,31.624000
48,6.833000
48,0.455000
48,31.945000
48,8.047000
48,16.041000
48,41.629000
48,0.840000
48,0.758000
48,55.151000
48,13.489000
48,7.533000
48,2.379000
48,4.397000
48,34.904000
48,13.430000
48,32.331000
48,34.852000
48,8.770000
48,12.072000
48,21.370000
48,1.871000
48,11.533000
48,20.742000
48,12.978000
48,3.372000
48,4.522000
48,4.686000
52,12.144000
52,116.745000
52,65.422000
52,2.457000
52,219.593000
52,21.842000
52,131.880000
52,47.197000
52,169.126000
52,0.256000
52,110.312000
52,2.122000
52,39.601000
52,70.509000
52,107.458000
52,515.735000
52,79.544000
52,107.651000
52,59.131000
52,2.506000
52,71.833000
52,78.391000
52,53.548000
52,268.656000
52,85.009000
52,41.545000
52,69.580000
52,2.808000
52,6.226000
52,38.711000
